Job_Title,Company,Location,Level,Type,Function,Industry,city,state,primary_industry,job_category,level_clean,employment_type_clean,is_remote,is_metro,is_entry,is_internship
Compliance Specialist,AU SMALL FINANCE BANK,"Jaipur, Rajasthan, India",Mid-Senior level,Other,Full-time,Banking and Financial Services,Jaipur,Rajasthan,Banking and Financial Services,Other,Mid-Senior,Other,0,0,0,0
Accountant,SyncUp,"Mumbai, Maharashtra, India",Associate,Accounting/Auditing and Finance,Full-time,Human Resources Services,Mumbai,Maharashtra,Human Resources Services,Other,Associate,Accounting/Auditing and Finance,0,1,0,0
Digital Marketing Intern,NuvoRetail,"Dwarka, Delhi, India",Internship,"Marketing, Art/Creative, and Design",Internship,Business Consulting and Services,Dwarka,Delhi,Business Consulting and Services,Other,Internship,"Marketing, Art/Creative, and Design",0,0,0,1
Data Analyst - 2,SatSure,"Bangalore Urban, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Space Research and Technology,Bengaluru,Karnataka,Space Research and Technology,Data Analyst,Mid-Senior,Information Technology,0,1,0,0
Data Scientist,HARMAN International,"Bengaluru, Karnataka, India",Associate,Engineering and Information Technology,Full-time,Computers and Electronics Manufacturing,Bengaluru,Karnataka,Computers and Electronics Manufacturing,Data Scientist,Associate,Engineering and Information Technology,0,1,0,0
AML Analyst,McLaren Strategic Solutions (MSS),"Bangalore Urban, Karnataka, India",Associate,Finance and Sales,Full-time,Business Consulting and Services,Bengaluru,Karnataka,Business Consulting and Services,Other Analyst,Associate,Finance and Sales,0,1,0,0
Data Engineer,i-Qode Digital Solutions Private Limited,"Mumbai, Maharashtra, India",Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,Mumbai,Maharashtra,IT Services and IT Consulting,Engineer / Developer,Mid-Senior,Information Technology,0,1,0,0
Data Operations - Intern,Novo,"Gurgaon, Haryana, India",Internship,Information Technology,Internship,Financial Services,Gurugram,Haryana,Financial Services,Other,Internship,Information Technology,0,1,0,1
"Consultant- Diversity, Equity and Inclusion",Godrej Agrovet Limited,"Mumbai, Maharashtra, India",Associate,Human Resources,Contract,Manufacturing and Farming,Mumbai,Maharashtra,Manufacturing and Farming,Other,Associate,Human Resources,0,1,0,0
Manager Analytics,Epsilon India,"Bengaluru, Karnataka, India",Mid-Senior level,Information Technology,Full-time,Information Services,Bengaluru,Karnataka,Information Services,Other,Mid-Senior,Information Technology,0,1,0,0
TSM - Urban,airtel,"Punjab, India",Not Applicable,Other,Full-time,Telecommunications,Punjab,India,Telecommunications,Other,Not Specified,Other,0,0,0,0
AVP-Data Science,EXL,"Gurugram, Haryana, India",Mid-Senior level,"Information Technology, Consulting, and Strategy/Planning",Full-time,"IT Services and IT Consulting, Banking, and Investment Banking",Gurugram,Haryana,IT Services and IT Consulting,Data Scientist,Mid-Senior,"Information Technology, Consulting, and Strategy/Planning",0,1,0,0
Analyst,Lowe's India,"Bengaluru, Karnataka, India",Entry level,Business Development and Sales,Full-time,Retail,Bengaluru,Karnataka,Retail,Other Analyst,Entry,Business Development and Sales,0,1,1,0
Accountant Assistant,UPTITUDE,"Gurugram, Haryana, India",Associate,Administrative,Full-time,IT Services and IT Consulting,Gurugram,Haryana,IT Services and IT Consulting,Other,Associate,Administrative,0,1,0,0
Data Analyst - Associate Data Analyst / Data Analyst,ISG (Information Services Group),"Bengaluru, Karnataka, India",Entry level,Information Technology,Full-time,Information Services,Bengaluru,Karnataka,Information Services,Data Analyst,Entry,Information Technology,0,1,1,0
Data Entry Virtuoso,Kelp,"Mumbai, Maharashtra, India",Entry level,Administrative,Full-time,Software Development,Mumbai,Maharashtra,Software Development,Data Entry,Entry,Administrative,0,1,1,0
Data Scientist,NetApp,"Bengaluru, Karnataka, India",Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,Bengaluru,Karnataka,IT Services and IT Consulting,Data Scientist,Entry,Engineering and Information Technology,0,1,1,0
